Equ_ID,rank_ID,equType_ID,name,Equ_capture,Equ_atkspd,atk_range,3D model
1,0,0,잠자리채,12,0,1,/2_net preset/SM_Net
2,0,1,박스함정,20,1,1,/4_Trap preset/SM_Prop_CardboardBox_01
3,1,0,기본포충망,14,0,1,/2_net preset/SM_Net
4,1,1,플라스틱함정,22,1,1,/4_Trap preset/cattray_02
5,1,2,바람총,28,2,1,American Old Rifle
6,2,0,고급포충망,18,0,1,/2_net preset/TennisRacket_01
7,2,1,먹이함정,22,1,1,/4_Trap preset/Foodtrap
8,2,2,마취총,32,2,2,/3_trinqualizer preset/SM_Wep_Sniper_Mil_01
9,3,0,전문포충망,20,0,1,/2_net preset/TennisRacket_01
10,3,1,전문함정문,24,1,1,/4_Trap preset/TrapDoor
11,3,2,강력마취총,36,2,2,/3_trinqualizer preset/SniperRifleHP
