Id,Name
0,"경로가 이어지지 않았습니다."
1,"성공"
2,"실패"
3,"골드가 부족합니다."
4,"포획 성공"
5,"포획 실패"
6,"대원을 한명이상 배치해주세요."
7,"동물 포획 작전에 참여해줘서 고마워!\n지금 Aaa 국가의 동물들은 알 수 없는 이유로 모두 난폭해져 있어!"
8,"너의 목표는 야생동물의 치료를 위해 가능한 많은 야생 동물들을 포획하는 거야!"
9,"그러기 위해서는 주어진 예산안에서 동물들을 유인할 길과 동물들을 포획할 대원을 적절하게 배치 해야해!"
10,"그러면 먼저 길을 만들어 볼까?"
11,"좋아! 길이 만들어질 자리가 표시 됐어.\n명심해야 할건, 타일 하나를 만들 때 마다 50골드 씩 소비가 되는 거야."
12,"만약 돈이 모자를 경우 더 이상 길을 만들 수 없어. 그러니까 항상 골드를 신경 써서 길을 만들어야 해!"
13,"길을 다시 만들고 싶으면 제거 버튼으로 길을 지울 수 있어."
14,"길을 지우면 지운 수 만큼 골드를 다시 돌려받으니까, 예산 범위 안에서 길을 자유롭게만들 수 있어!"
15,"만약 한번에 길을 지우고 싶으면 제거 버튼옆에 모든 타일 제거를 누르면 되."
16,"길을 다 만들었으면 인제 만든 길을 확정해보자!"
17,"중요한 건, 모든 동물을 안전하게 포획해야하기 때문에, 모든 길이 목표 지점으로이어져야 한다는 거야!"
18,"이렇게 목표지점까지 도달하지 못하는 동물이있으면 않되!"
19,"그리고, 동물들은 무조건 목표지점까지 가장짧은 길을 선택해서 이동을 해!"
20,"그래서 너가 만든 다양한 길 중에서, 가장 짧은길을 바탕으로 경로가 만들어 질 거야!"
21,"그러면, 이번에는 대원을 한번 고용해보자."
22,"대원 고용 화면으로 오면 먼저 고용할 수 있는 대원이 왼쪽 화면에 뜰 거야."
23,"아직은 포획 작전을 시작한지 얼마 안돼서 인턴 대원만 고용이 가능한 상태야."
24,"하지만 포획 작전을 진행할 수록 고용할 수 있는 대원의 등급도 높아질 거야!"
25,"그러면 일단 인턴 대원을 고용하고 배치해보자!"
26,"좋아! 인제 성공적으로 대원을 배치했어. 배치하면서 알아차렸겠지만, 대원을 고용하면 UI에서 고용한 대원의 수가 올라가!"
27,"그리고 대원을 작전 지역에 배치하게 되면 배치한 대원의 수가 올라가!"
28,"작전 지역에 배치된 대원은 동물이 다니는 길만 아니면 어디든 배치 가능해."
29,"우리 대원이 동물을 포획할 수 있는 범위를 알고 싶으면 클릭해서 확인할 수도 있어."
30,"만약 배치중인 대원을 다시 불러들이고 싶으면 원하는 대원을 대원 UI로 드래그 하면 돼."
31,"아니면 대원 모두 해제 버튼으로 모든 대원을 다시 불러들일 수도 있어"
32,"마지막으로, 대원을 고용하기 위해서 지불해야하는 고용 비용이 있어."
33,"그리고 우리의 대원을 작전 지역에 유지시키기 위해서 매 라운드마다 지불해야하는 월급도 생각해야해!"
34,"만약 대원들에게 주어야 하는 월급이 보유하고 있는 예산보다 높을 경우 배치중인 대원을 해고하거나 길을 다시 만들어야 해."
35,"대원 해고는 해고하고 싶은 대원을 클릭하고 아래로 끌어 내리면 되."
36,"그러면, 다음으로 고용한 대원의 장비를 한번 바꿔보자."
37,"대원 준비 탭으로 오면 대원의 장비를 변경 시킬 수 있어."
38,"그러면 먼저 인턴 대원의 장비를 변경 시켜 보자."
39,"인턴 대원을 클릭하면 인턴 대원의 정보를 확인할 수 있어."
40,"대원의 등급, 줘야하는 월급, 초당 포획력, 공격범위 등 종합적인 정보를 모두 확인할수 있어."
41,"여기서 장비를 바꾸는 방법은 장비의 아이콘을 클릭하면 되."
42,"클릭 후 원하는 장비의 아이콘을 다시 클릭하면 대원의 장비가 교체되."
43,"각각의 장비는 포획할 수 있는 동물의 싸이즈가 달라."
44,"포충망은 초소형, 소형 동물만 잡을 수 있지. 함정은 소형부터 대형 동물을 잡을 수 있어."
45,"마지막으로 마취총은 중형부터 초대형까지의 동물을 포획하는데 사용되."
46,"이 정보는 대원의 정보 창에서 확인 가능해."
47,"인턴 대원의 장비를 박스함정으로 바꾸니까 포획할 수 있는 동물의 싸이즈가 달라지는 것이 보이지?"
48,"그러면 동물의 싸이즈는 어디서 확인하냐고? 그건 소환되는 동물을 클릭해서 확인할 수 있어."
49,"동물을 클릭하면 그 동물의 정보를 간략하게 확인 할 수 있어."
50,"동물의 이름과 등급, 이 동물 한 마리를 포획하기 위해 필요한 포획도 수치를 확인 할 수 있지."
51,"그리고 이 동물이 얼마나 빠른지 확인할 수 있고 이 동물의 싸이즈를 확인 할 수 있어."
52,"이 싸이즈 정보와 대원의 초당 포획도 등을 확인해서 알맞은 장비 종류와 최적의 위치에 대원을 배치해야 할거야!"
53,"인제 어느정도 포획 작전을 시작하기 위한 기초 준비는 끝난 것 같아!"
54,"난폭해진 야생 동물들의 치료를 위해 성공적으로 최대한 많은 동물을 잡아줘! 너만 믿고 있을게!"
55,"자본금이 적어져 게임이 종료될 수 있습니다!"
