Id,Name
0,"경로가 이어지지 않았습니다."
1,"성공"
2,"실패"
3,"골드가 부족합니다."
4,"포획 성공"
5,"포획 실패"
6,"대원을 한명이상 배치해주세요."
7,"동물 포획 작전에 참여해줘서 고마워!\n지금 Aaa 국가의 동물들은 알 수 없는 이유로 모두 난폭해져 있어!"
8,"너의 목표는 야생동물의 치료를 위해 가능한 많은 야생 동물들을 포획하는 거야!"
9,"그러기 위해서는 주어진 예산안에서 동물들을 유인할 길과 동물들을 포획할 대원을 적절하게 배치 해야해!"
10,"그러면 먼저 길을 만들어 볼까?"
11,"좋아! 길이 만들어질 자리가 표시 됐어.\n명심해야 할건, 타일 하나를 만들 때 마다 50골드 씩 소비가 되는 거야."
12,"만약 돈이 모자를 경우 더 이상 길을 만들 수 없어. 그러니까 항상 골드를 신경 써서 길을 만들어야 해!"
13,"길을 다시 만들고 싶으면 제거 버튼으로 길을 지울 수 있어."
14,"길을 지우면 지운 수 만큼 골드를 다시 돌려받으니까, 예산 범위 안에서 길을 자유롭게만들 수 있어!"
15,"만약 한번에 길을 지우고 싶으면 제거 버튼옆에 모든 타일 제거를 누르면 되."
16,"길을 다 만들었으면 인제 만든 길을 확정해보자!"
17,"중요한 건, 모든 동물을 안전하게 포획해야하기 때문에, 모든 길이 목표 지점으로이어져야 한다는 거야!"
18,"이렇게 목표지점까지 도달하지 못하는 동물이있으면 않되!"
19,"그리고, 동물들은 무조건 목표지점까지 가장짧은 길을 선택해서 이동을 해!"
20,"그래서 너가 만든 다양한 길 중에서, 가장 짧은길을 바탕으로 경로가 만들어 질 거야!"
21,"그러면, 이번에는 대원을 한번 고용해보자."
